IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
MIROSLAVA,KOBIETA,8
GRAŻYNA,KOBIETA,8
ANABELLA,KOBIETA,8
LEIA,KOBIETA,8
DAGNA,KOBIETA,8
JASMINE,KOBIETA,8
OFELIA,KOBIETA,8
AFINA,KOBIETA,8
MANUELA,KOBIETA,8
MARIOLA,KOBIETA,8
MELANIE,KOBIETA,8
DEBORA,KOBIETA,8
ANATOLIA,KOBIETA,8
LUCY,KOBIETA,8
ADELAJDA,KOBIETA,8
WIOLETA,KOBIETA,8
KARMEN,KOBIETA,8
ARIADNA,KOBIETA,7
YEVA,KOBIETA,7
AVA,KOBIETA,7
ZYTA,KOBIETA,7
WALENTYNA,KOBIETA,7
CHLOÉ,KOBIETA,7
ANA,KOBIETA,7
ELIZAVETA,KOBIETA,7
VIKTORIIA,KOBIETA,7
BRONISŁAWA,KOBIETA,7
BALBINA,KOBIETA,7
YANA,KOBIETA,7
JULIANA,KOBIETA,7
ROSA,KOBIETA,7
LANA,KOBIETA,7
CATALEYA,KOBIETA,7
BERNADETA,KOBIETA,6
ELISA,KOBIETA,6
DOBROCHNA,KOBIETA,6
BERNADETTA,KOBIETA,6
WARWARA,KOBIETA,6
OLIVIIA,KOBIETA,6
TEKLA,KOBIETA,6
MIKA,KOBIETA,6
LIZA,KOBIETA,6
SIMONA,KOBIETA,6
ROSALIA,KOBIETA,6
KAMELIA,KOBIETA,6
ROXANA,KOBIETA,6
TINA,KOBIETA,6
DARYNA,KOBIETA,6
VIOLETTA,KOBIETA,6
FRANCESCA,KOBIETA,6
AMALIA,KOBIETA,6
TOSIA,KOBIETA,6
BOGUSŁAWA,KOBIETA,6
IVANKA,KOBIETA,6
ROSE,KOBIETA,6
ASTRID,KOBIETA,6
REBEKA,KOBIETA,6
MIŁA,KOBIETA,6
SOLOMIA,KOBIETA,6
KRISTINA,KOBIETA,6
LUDWIKA,KOBIETA,6
MIKAELA,KOBIETA,6
ALIA,KOBIETA,6
AYA,KOBIETA,6
YASMIN,KOBIETA,5
VERA,KOBIETA,5
AISZA,KOBIETA,5
ARLETTA,KOBIETA,5
ADEL,KOBIETA,5
LARISSA,KOBIETA,5
ELIF,KOBIETA,5
MEGAN,KOBIETA,5
POLIANNA,KOBIETA,5
SUSANNA,KOBIETA,5
MELA,KOBIETA,5
MATILDA,KOBIETA,5
LINA,KOBIETA,5
LUCJA,KOBIETA,5
VIVIENNE,KOBIETA,5
WIWIANA,KOBIETA,5
LETICIA,KOBIETA,5
ANAYA,KOBIETA,5
BRYGIDA,KOBIETA,5
IVY,KOBIETA,5
NELI,KOBIETA,5
NIKOLETTA,KOBIETA,5
WERA,KOBIETA,5
MARYNA,KOBIETA,5
MELANIIA,KOBIETA,5
NAWOJKA,KOBIETA,5
